Hike,AdditionalTrails,Year,DayofYear,TripReportBy,Link,RoadSummary,BugsSummary,SnowSummary,NumPics,FlowersinPics,SnowinPicsonTrail,FlowersMentioned,SnowMentioned,Positive_Negative,OtherMentioned,Notes
Naches Peak Loop,,2019,October 12,LMerritt,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-10-12.1970515902,Suitable for all vehicles,No bugs,Intermittent Snow - not hard to cross,2,0,2,none,Snow at the beginning; patches of ice,Beautiful views,Fall colors gone,
Naches Peak Loop,,2019,October 12,pnwhiker,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-10-12.3180010642,Suitable for all vehicles,No bugs,Snowfields to cross - could be difficult,4,1,2,none,About 50-75% covered in snow/compact ice; snow backdrop,Views are great with the snow backdrop; enjoy this one before the road is closed,"For those in search of fall foliage, the window of opportunity is gone",
Naches Peak Loop,,2019,October 11,Natand1991,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-10-16.5069683110,Suitable for all vehicles,No bugs,Snowfields to cross - could be difficult,3,1,3,none,The shaded sections of the trail were snowy and icy; watch out for ice,A nice short hike with great views,none,
Naches Peak Loop,,2019,October 9,Cara_Beth,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-10-11.2160621223,Snow and ice on road,No bugs,Snowfields to cross - could be difficult,3,0,3,none,Ice on the road starting just past the sunrise turn off,Gorgeous day on a great trail,Any fall colors are pretty much snow covered,
Naches Peak Loop,,2019,October 6,BabyH,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-10-06.6591360134,Suitable for all vehicles,No bugs,Intermittent Snow - not hard to cross,4,0,1,none,The shadier side of the loop had some very slick spots with packed ice and snow,Absolutely beautiful day on this trail; busy but areas still felt peaceful; this was lovely,none,
Naches Peak Loop,,2019,October 6,mytho-man,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-10-06.7076248508,Suitable for all vehicles,No bugs,Intermittent Snow - not hard to cross,3,1,0,none,It was pretty icy for the first 1/2 mile or so where the trail is in the shade; muddy spots as well as a little ice,Rainier was magnficent; such a nice day,The fall color was quite disappointing,
Naches Peak Loop,,2019,October 2,anthonyE,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-10-02.3815388311,Suitable for all vehicles,No bugs,Intermittent Snow - not hard to cross,3,0,2,none,"The trail had a few short phases of thin packed ice/snow, especially on the north side","Awesome views of Mt Rainier, as advertised!","It was not at peak foliage, maybe 1-2 weeks away",
Naches Peak Loop,,2019,September 28,yan130,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-09-28.0769105737,Suitable for all vehicles,No bugs,Intermittent Snow - not hard to cross,1,0,1,none,The trip was excellent until the snow came in the afternoon,No good view,none,
Naches Peak Loop,,2019,September 23,Bsanner,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-09-23.6435886749,Suitable for all vehicles,No bugs,Snow free,0,0,0,none,The challenge is that this easy trail sits a top Chinook Pass that will close for the winter once the first heavy snow arrives,Favorite short loop hike; trail was damp but in excellent condition; excellent fall hike destination,Some fall colors are showing,
Naches Peak Loop,,2019,September 21,Sandy,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-09-21.3612196911,Suitable for all vehicles,No bugs,Snow free,4,1,0,none,none,Would hike this again next year; no bugs and gorgeous views,Beautiful fall colors on the whole trail,
Naches Peak Loop,,2019,September 21,Christywag,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-09-23.5895673826,Suitable for all vehicles,No bugs,Snow free,4,1,0,none,none,Such a gorgeous day for a hike; excellent views,Fall colors,
Naches Peak Loop,,2019,September 21,Ranger Gal,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-09-21.5173933860,Suitable for all vehicles,No bugs,Snow free,4,1,0,The huckleberries are brilliant red,none,It was a beautiful day today; trail is in great condition,Other fall colors are starting too,
Naches Peak Loop,,2019,September 20,BigDMama 77,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-09-23.3762048889,Suitable for all vehicles,No bugs ,Snow free,4,0,0,none,none,Beautiful fall evening on the Loop; Rainier was spectacular,Fall colors were beautiful,
Naches Peak Loop,,2019,September 18,cranesbill,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-10-03.6623371466,Suitable for all vehicles,No bugs,Snow free,2,0,0,none,none,"Enjoyed our hike on the Loop today; couldn't see Rainier, worth it anyway!",none,
Naches Peak Loop,,2019,September 16,ciara_rainmaker,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-09-16.2229388332,Suitable for all vehicles,No bugs,Snow free,2,0,0,none,none,Excellent views despite low clouds and mist; I appreciated the views at the end of the hike much more than the views we started with,none,
Naches Peak Loop,,2019,September 16,Latourvi,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-09-20.6983857453,Suitable for all vehicles,No bugs,Snow free,3,0,0,none,none,"An enjoyable day hike; the fast, low moving clouds are just as beautiful as the sunny, mountain views","The fall colors are just beginning, should be really great in a week or two",
Naches Peak Loop,,2019,September 15,Wildeclipse,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-09-15.8218259458,Suitable for all vehicles,No bugs,Snow free,1,0,0,none,none,The views were amazing; perfect weather except for cloud cover on Rainier,none,
Naches Peak Loop,,2019,September 5,greybeard,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-09-05.9894897134,Suitable for all vehicles,No bugs,Snow free,0,0,0,Wildflowers are long gone,none,"A lovely, easy hike with great views",none,
Naches Peak Loop,,2019,September 4,stever,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-09-04.1081809230,Suitable for all vehicles,No bugs,Snow free,3,0,0,none,none,"A bit worried about the weather; spectacular in your face views of Mt Rainier; Not bad for such a popular trail; great day to be out hiking, great weather, great views and an elk sighting to boot",none,
Naches Peak Loop,,2019,September 1,RamiN,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-09-13.2129164377,Suitable for all vehicles,Bugs were not too bad,Snow free,1,1,0,none,none,pleasantly surprised with how beautiful and clear the whole trail was; trail was super easy and well maintained; view payout of Rainier was breathtaking,none,
Naches Peak Loop,,2019,September 1,KYeoman,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-09-01.0980499419,Suitable for all vehicles,No bugs,Snow free,0,0,0,none,none,"Trail was in good shape, but very busy for the Labor Day weekend",none,
Naches Peak Loop,,2019,August 25,rustysailor,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-26.2412860112,Suitable for all vehicles,No bugs,Snow free,4,0,0,"like the wildflowers, which have pretty much petered out at this point",none,"Trail is in great shape, no obstacles; enjoyed our supper at the nearly deserted picnic area. What a great evening!",none,
Naches Peak Loop,,2019,August 25,LDC123,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-25.9897715633,Suitable for all vehicles,No bugs,Snow free,0,0,0,none,none,none,none,
Naches Peak Loop,,2019,August 25,colinmac,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-30.2052947316,Suitable for all vehicles,No bugs,Snow free,3,1,0,none,none,"The trail was in great shape, and for such a simple trip, you see a ton. ",none,
Naches Peak Loop,,2019,August 25,hikingwithlittledogs,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-25.7945177823,Suitable for all vehicles,No bugs,Snow free,3,0,0,none,none,Ground squirrels were the animal of the day. They seemed to be everywhere and adorable as usual. ,none,This report combined with one about Crystal Mountain Resort
Naches Peak Loop,,2019,August 24,Dahlhouse.Adventures,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-25.7356330709,Suitable for all vehicles,No bugs,Snow free,4,1,0,Flowers out but I think we are in transition between full bloom and the beautiful fall foliage. ,none,"Beautiful hike even with Mt Rainier playing hide and seek. Can’t wait to go back on a sunny day and see her in all her glory.
Trail was in great condition, somewhat crowded but not bad; Overall great hike on a cooler PNW day.",Flowers out but I think we are in transition between full bloom and the beautiful fall foliage. ,
Naches Peak Loop,,2019,August 24,Travis008,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-26.7658935630,Suitable for all vehicles,No bugs,Snow free,2,0,0,none,none,"The Naches Loop section of the trail was packed with day hikers, too many kids to count, people feeding wild animals, trampling off trail so overall that section of the trail was pretty annoying for anyone that gets upset when people aren't respecting nature. ",none,This report combined with one about American Lake
Naches Peak Loop,,2019,August 24,StephanieLee77,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-24.5995566995,Suitable for all vehicles,No bugs,Snow free,4,1,0,none,none,"I've been looking at doing this trail for a while and I’m so glad I finally did! Even though we had some low clouds throughout the day and didn’t get views of Mt. Rainier, we did get gorgeous views of surrounding mountains.",none,
Naches Peak Loop,,2019,August 23,MikeSant,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-25.6642309942,Suitable for all vehicles,Bugs were not too bad,Snow free,2,0,0,none,none,"great hike! awesome views, saw a bear! ",none,
Naches Peak Loop,,2019,August 19,BigDMama 77,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-20.9723358965,Suitable for all vehicles,No bugs,Snow free,4,0,0,none,none,"I am a novice hiker (for now!) and this hike was spectacular. Coming from Washington's desert (Tri Cities), the mountains and trees and view of Mt. rainier were breathtaking; Great day hike with the family!  ",none,
Naches Peak Loop,,2019,August 18,demonstrate,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-18.8234642526,Suitable for all vehicles,Bugs were not too bad,Snow free,2,0,0,Still some lupines but almost gone. Harebells started blooming near Dewey Lake.,none,none,none,
Naches Peak Loop,,2019,August 18,Nargles,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-11-06.0246883294,Suitable for all vehicles,No bugs,Snow free,0,0,0,Lots of wildflowers,none,Beautiful day,none,
Naches Peak Loop,,2019,August 16,Mhall131313,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-19.7131645610,Suitable for all vehicles,No bugs,Snow free,2,0,0,none,none,I love this hike. It is great for most levels of hikers; It was perfect for them and as we rounded the corner at the top of the trail there was Mt. Rainier staring us in the face; It was a great day as all days are near this spectacular mountain.,none,
Naches Peak Loop,,2019,August 16,gillianelise,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-17.9746511313,Suitable for all vehicles,Bugs were not too bad,Snow free,4,1,0,"There are definitely still wildflowers left, but they do appear to be past their peak. ",none,"What a gorgeous trail! Definitely a summer must-do; Some views were obscured, but even so, those that did show themselves were gorgeous; The trail was fairly busy (expected, given that it was a pleasant Friday) and in great condition. ",none,
Naches Peak Loop,,2019,August 16,OurDirtPaths,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-18.2887938710,Suitable for all vehicles,Bugs were not too bad,Snow free,4,1,0,none,none,Found a pretty little spot in the trees with a sandy beach and an amazing view of Rainier - when the clouds lifted:); Rainier lavished us with its beauty all along the way; It was all pretty amazing; Would totally recommend doing the loop from Chinook to Tipsoo; Walking towards Rainier on the other side is astounding; Lots of people on the trail Sunday morning - such beauty draws a crowd.,none,This report combined with one about American Lake and one about Dewey Lake
Naches Peak Loop,,2019,August 15,Lozeau21,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-17.3909433402,Suitable for all vehicles,No bugs ,Snow free,4,1,0,none,none,I saw so much more on this hike than the previous hike. It was even more beautiful; That was the closest I've ever been to a bear in the wild. It was a magnificent sight; Trail is in great condition,none,
Naches Peak Loop,,2019,August 15,Bsanner,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-15.5237064389,Suitable for all vehicles,No bugs,Snow free,0,0,0,wildflowers still in bloom (but past their prime),none,Lots of plusses to this hike. The trail is in super condition; plenty of territorial sights that make this hike worth while. Periodic wildlife bonuses of mountain goats and bears (hikers saw two today) add to the adventure.  One of our favorite go to hike due to distance and views.,none,
Naches Peak Loop,,2019,August 15,crbender19,https://www.wta.org/go-hiking/trip-reports/trip_report.2019-08-16.6972325243,Suitable for all vehicles,Bugs were not too bad,Snow free,1,0,0,none,none,We had an enjoyable hike that included a bear sighting!,none,
